id,created_by,created_date,last_modified_by,last_modified_date,is_active,user_id,role_id,status
59,,2022-05-23 01:26:03.714702,,2022-05-23 01:26:03.714702,1,2,19,1
60,admin,2022-05-23 02:08:01.167157,admin,2022-05-23 02:08:01.167157,1,50,1,1
61,admin,2022-05-23 02:08:01.169691,admin,2022-05-23 02:08:01.169691,1,50,3,1
62,admin,2022-05-23 02:08:01.172144,admin,2022-05-23 02:08:01.172144,1,50,5,1
63,admin,2022-05-23 02:21:03.610211,admin,2022-05-23 02:21:03.610211,1,51,1,1
64,admin,2022-05-23 02:21:03.612607,admin,2022-05-23 02:21:03.612607,1,51,3,1
65,admin,2022-05-23 02:21:03.617904,admin,2022-05-23 02:21:03.617904,1,51,5,1
66,,2022-05-23 02:51:54.398742,,2022-05-23 02:51:54.398742,1,52,20,1
67,admin,2022-05-23 02:52:34.099829,admin,2022-05-23 02:52:34.099829,1,53,20,1
69,,2022-05-23 02:55:01.655231,,2022-05-23 02:55:01.655231,1,2,20,1
71,admin,2022-05-23 02:58:40.408318,admin,2022-05-23 02:58:40.408318,1,55,1,1
74,,2022-05-23 03:14:35.626298,admin,2022-05-23 03:14:35.626298,1,54,20,1
78,,2022-05-23 03:17:21.615521,admin,2022-05-23 03:17:21.615521,1,56,3,1
79,,2022-05-23 03:17:21.618077,admin,2022-05-23 03:17:21.618077,1,56,1,1
86,,2022-05-23 03:20:37.718807,,2022-05-23 03:20:37.718807,1,4,21,1
87,,2022-05-23 03:20:37.720943,,2022-05-23 03:20:37.720943,1,2,21,1
88,,2022-05-23 03:22:59.259942,,2022-05-23 03:22:59.259942,1,5,22,1
89,,2022-05-23 03:22:59.263500,,2022-05-23 03:22:59.263500,1,2,22,1
97,,2022-05-23 04:57:17.267125,admin,2022-05-23 04:57:17.267125,1,57,2,1
98,,2022-05-23 04:57:17.269380,admin,2022-05-23 04:57:17.269380,1,57,3,1
99,,2022-05-23 04:57:17.271930,admin,2022-05-23 04:57:17.271930,1,57,1,1
100,admin,2022-05-23 08:29:29.094384,admin,2022-05-23 08:29:29.094384,1,68,1,1
101,admin,2022-05-23 08:29:29.096773,admin,2022-05-23 08:29:29.096773,1,68,5,1
102,admin,2022-05-23 08:29:29.099439,admin,2022-05-23 08:29:29.099439,1,68,4,1
104,,2022-05-23 08:37:47.403595,,2022-05-23 08:37:47.403595,1,5,23,1
106,,2022-05-23 09:58:40.543004,,2022-06-01 03:28:54,1,4,24,1
107,,2022-05-23 09:58:40.545609,,2022-06-01 03:28:54,1,6,24,1
110,,2022-05-23 14:13:30.907551,admin,2022-05-23 14:13:30.907551,1,70,1,1
111,,2022-05-23 14:13:30.910061,admin,2022-05-23 14:13:30.910061,1,70,3,1
114,,2022-05-23 14:27:16.392444,,2022-05-23 14:27:16.392444,1,4,25,1
116,,2022-05-24 01:10:00.732547,admin,2022-05-24 01:10:00.732547,1,72,1,1
118,,2022-05-24 09:21:55.871000,sales,2022-05-24 09:21:55.871000,1,74,2,1
121,,2022-05-24 10:57:59.406453,sales,2022-05-24 10:57:59.406453,1,71,5,1
122,sales,2022-05-24 10:59:44.162942,sales,2022-05-24 10:59:44.162942,1,76,3,1
125,,2022-05-24 12:32:00.590593,admin,2022-05-24 12:32:00.590593,1,77,2,1
128,,2022-05-24 13:31:32.064126,admin,2022-05-24 13:31:32.064126,1,79,2,1
130,,2022-05-24 13:33:57.067718,sean,2022-05-24 13:33:57.067718,1,80,1,1
132,,2022-05-24 13:35:16.154025,sean,2022-05-24 13:35:16.154025,1,78,1,1
134,,2022-05-24 17:20:11.681775,,2022-05-25 02:17:42,1,4,26,0
135,,2022-05-25 02:17:42.594502,,2022-05-25 03:29:59,1,2,26,0
142,,2022-06-03 08:05:52.789395,admin,2022-06-03 08:05:52.789395,1,1,1,1
144,,2022-06-06 08:27:56.291009,hoapq1,2022-06-06 08:27:56.291009,1,83,1,1
146,,2022-06-08 12:32:27.836357,,2022-06-08 12:32:27.836357,1,0,1,1
148,,2022-06-09 02:09:35.270139,admin,2022-06-09 02:09:35.270139,1,117,29,1
149,,2022-06-09 06:55:58.039871,admin,2022-06-09 06:55:58.039871,1,84,1,1
150,admin,2022-06-13 03:37:53.001290,admin,2022-06-13 03:37:53.001290,1,136,6,1
154,admin,2022-06-13 04:30:15.970904,admin,2022-06-13 04:30:15.970904,1,138,6,1
155,admin,2022-06-13 04:42:46.045308,admin,2022-06-13 04:42:46.045308,1,139,2,1
157,,2022-06-13 05:01:55.332330,admin,2022-06-13 05:01:55.332330,1,140,4,1
158,,2022-06-13 05:10:58.665787,admin,2022-06-13 05:10:58.665787,1,137,6,1
160,,2022-06-13 05:12:49.467727,admin,2022-06-13 05:12:49.467727,1,141,6,1
166,,2022-06-13 17:04:20.360441,admin,2022-06-13 17:04:20.360441,1,93,1,1
170,nguyendpt2,2022-06-15 02:24:41.188926,nguyendpt2,2022-06-15 02:24:41.188926,1,146,1,1
171,nguyendpt2,2022-06-15 02:26:31.444658,nguyendpt2,2022-06-15 02:26:31.444658,1,142,23,1
172,admin,2022-06-15 02:58:56.971775,admin,2022-06-15 02:58:56.971775,1,147,1,1
173,nguyendpt22,2022-06-15 02:59:34.650790,nguyendpt22,2022-06-15 02:59:34.650790,1,143,3,1
180,admin,2022-06-23 08:39:21.024153,admin,2022-06-23 08:39:21.024153,1,102,4,1
186,admin,2022-06-23 10:40:13.310042,admin,2022-06-23 10:40:13.310042,1,85,1,1
187,admin,2022-06-28 06:38:08.946577,admin,2022-06-28 06:38:08.946577,1,154,24,1
188,admin,2022-06-30 04:08:55.437586,admin,2022-06-30 04:08:55.437586,1,132,2,1
189,admin,2022-06-30 04:09:05.618542,admin,2022-06-30 04:09:05.618542,1,133,2,1
190,admin,2022-06-30 04:13:29.297500,admin,2022-06-30 04:13:29.297500,1,199,2,1
191,admin,2022-06-30 04:20:52.364134,admin,2022-06-30 04:20:52.364134,1,128,2,1
196,admin,2022-06-30 09:34:20.541447,admin,2022-06-30 09:34:20.541447,1,200,5,1
197,admin,2022-06-30 15:11:13.152913,admin,2022-06-30 15:11:13.152913,1,201,2,1
198,admin,2022-06-30 15:15:26.066177,admin,2022-06-30 15:15:26.066177,1,202,2,1
200,admin,2022-07-21 13:02:57.370993,admin,2022-07-21 13:02:57.370993,1,442,1,1
202,admin,2022-07-23 10:40:51.616157,admin,2022-07-23 10:40:51.616157,1,454,2,1
